chapter,sector_group,flood_exposed,drought_exposed,earthquake_exposed,storm_exposed,wildfire_exposed,extreme_temp_exposed
01,animal_products,1,1,0,1,1,1
02,animal_products,1,1,0,1,1,1
03,animal_products,1,1,0,1,1,1
04,animal_products,1,1,0,1,1,1
05,animal_products,1,1,0,1,1,1
06,vegetable_products,1,1,0,1,1,1
07,vegetable_products,1,1,0,1,1,1
08,vegetable_products,1,1,0,1,1,1
09,vegetable_products,1,1,0,1,1,1
10,vegetable_products,1,1,0,1,1,1
11,vegetable_products,1,1,0,1,1,1
12,vegetable_products,1,1,0,1,1,1
13,vegetable_products,1,1,0,1,1,1
14,vegetable_products,1,1,0,1,1,1
15,fats_oils,1,1,0,1,1,1
16,food_bev_tobacco,1,1,0,1,1,1
17,food_bev_tobacco,1,1,0,1,1,1
18,food_bev_tobacco,1,1,0,1,1,1
19,food_bev_tobacco,1,1,0,1,1,1
20,food_bev_tobacco,1,1,0,1,1,1
21,food_bev_tobacco,1,1,0,1,1,1
22,food_bev_tobacco,1,1,0,1,1,1
23,food_bev_tobacco,1,1,0,1,1,1
24,food_bev_tobacco,1,1,0,1,1,1
25,minerals_fuels,0,0,0,0,0,0
26,minerals_fuels,0,0,0,0,0,0
27,minerals_fuels,0,0,0,0,0,0
28,chemicals,0,0,0,0,0,0
29,chemicals,0,0,0,0,0,0
30,chemicals,0,0,0,0,0,0
31,chemicals,0,0,0,0,0,0
32,chemicals,0,0,0,0,0,0
33,chemicals,0,0,0,0,0,0
34,chemicals,0,0,0,0,0,0
35,chemicals,0,0,0,0,0,0
36,chemicals,0,0,0,0,0,0
37,chemicals,0,0,0,0,0,0
38,chemicals,0,0,0,0,0,0
39,plastics_rubber,0,0,0,0,0,0
40,plastics_rubber,0,0,0,0,0,0
41,leather_fur,0,0,0,0,0,0
42,leather_fur,0,0,0,0,0,0
43,leather_fur,0,0,0,0,0,0
44,wood_products,0,0,0,0,1,0
45,wood_products,0,0,0,0,1,0
46,wood_products,0,0,0,0,1,0
47,paper_print,0,0,0,0,1,0
48,paper_print,0,0,0,0,0,0
49,paper_print,0,0,0,0,0,0
50,textiles_apparel,0,0,0,0,0,0
51,textiles_apparel,0,0,0,0,0,0
52,textiles_apparel,0,0,0,0,0,0
53,textiles_apparel,0,0,0,0,0,0
54,textiles_apparel,0,0,0,0,0,0
55,textiles_apparel,0,0,0,0,0,0
56,textiles_apparel,0,0,0,0,0,0
57,textiles_apparel,0,0,0,0,0,0
58,textiles_apparel,0,0,0,0,0,0
59,textiles_apparel,0,0,0,0,0,0
60,textiles_apparel,0,0,0,0,0,0
61,textiles_apparel,0,0,0,0,0,0
62,textiles_apparel,0,0,0,0,0,0
63,textiles_apparel,0,0,0,0,0,0
64,footwear_headgear,0,0,0,0,0,0
65,footwear_headgear,0,0,0,0,0,0
66,footwear_headgear,0,0,0,0,0,0
67,footwear_headgear,0,0,0,0,0,0
68,stone_glass_ceramic,0,0,0,0,0,0
69,stone_glass_ceramic,0,0,0,0,0,0
70,stone_glass_ceramic,0,0,0,0,0,0
71,gems_precious,0,0,0,0,0,0
72,base_metals,0,0,1,0,0,0
73,base_metals,0,0,1,0,0,0
74,base_metals,0,0,1,0,0,0
75,base_metals,0,0,1,0,0,0
76,base_metals,0,0,1,0,0,0
77,base_metals,0,0,1,0,0,0
78,base_metals,0,0,1,0,0,0
79,base_metals,0,0,1,0,0,0
80,base_metals,0,0,1,0,0,0
81,base_metals,0,0,1,0,0,0
82,base_metals,0,0,1,0,0,0
83,base_metals,0,0,1,0,0,0
84,machinery_electrical,0,0,1,0,0,0
85,machinery_electrical,0,0,1,0,0,0
86,transport_equipment,0,0,1,0,0,0
87,transport_equipment,0,0,1,0,0,0
88,transport_equipment,0,0,1,0,0,0
89,transport_equipment,0,0,1,0,0,0
90,instruments,0,0,1,0,0,0
91,instruments,0,0,1,0,0,0
92,instruments,0,0,1,0,0,0
93,arms,0,0,0,0,0,0
94,misc_manufactures,0,0,0,0,0,0
95,misc_manufactures,0,0,0,0,0,0
96,misc_manufactures,0,0,0,0,0,0
97,art_antiques,0,0,0,0,0,0
